course_id,course_title,description,category,partner,is_paid,price,duration_weeks,enrollment_count,rating,level
103,Good Pharmacy Practice: Medication Management,"Learn how to effectively manage medications, from formulary management and procurement to drug safety and patient education.",Healthcare & Medicine,Taipei Medical University,False,0.0,3,2744.0,,Advanced level
104,Bioinformatics for Biologists: Analysing and Interpreting Genomics Datasets,Boost your career by gaining the skills to install and modify the elements of a bioinformatics workflow to suit your needs.,Healthcare & Medicine,Wellcome Connecting Science,True,0.0,3,,4.82828,
105,Essentials of Cyber Threat Intelligence,"Harness the power of cybersecurity tools, frameworks and solutions to turn raw cyber data into actionable security insights.",IT & Computer Science,Starweaver,False,0.0,4,,,Intermediate level
106,What Makes A Happy Life?: An introduction to Samuel Johnson’s Rasselas,Explore the humane realism of Samuel Johnson in a deep dive into his only novel with Theodore Dalrymple as your guide.,Literature,Ralston College,False,0.0,6,,,
107,Game Design: Practical Unity Development,"Build a complete 3D game with Unity. Learn animation, AI, networking, and more through hands-on project work.",IT & Computer Science,Communication University of China,False,0.0,11,,,Intermediate level
108,Core Principles of Cyber Espionage and Counter-intelligence,Learn espionage tactics and counterintelligence strategies to defend against sophisticated cyber threats.,Business & Management,Starweaver,False,0.0,4,,,Intermediate level
109,"The Forbidden City and Its People: Exploring Chinese History, Heritage & Culture with The Palace Museum",Unearth the architectural secrets of China's imperial past with this online history course from the University of Stirling.,History,University of Stirling,False,0.0,6,,,Introductory level
110,Education in Complex Times: Critical Approaches and New Paradigms,Discover new education strategies with the University of Stirling and prepare the education community for a bold new future.,Teaching,University of Stirling,False,0.0,6,725.0,,
111,The Data-Driven Business Analyst,Learn to turn data into business decisions. Build the analytical skills to bridge technical teams and business needs effectively.,Business & Management,Salford Business School,False,0.0,6,,,
112,Dental Radiography: Radiation Protection in Dental Practice,Learn the UK safety requirements and legislation for carrying out safe dental X-rays on this CPD course for dental professionals.,Healthcare & Medicine,UK Health Security Agency,True,85.0,5,,4.89381,
